question_id,question_type,accepted,reasons
NVDA_2025_EXPLANATION_377f9e0a,explanation,True,
NVDA_2025_EXPLANATION_d337edb5,explanation,True,
NVDA_2025_EXPLANATION_0c6f3bb2,explanation,True,
TSLA_2025_EXPLANATION_8081c204,explanation,True,
TSLA_2025_EXPLANATION_fe914ed3,explanation,True,
TSLA_2025_EXPLANATION_842612a8,explanation,True,
TSLA_2025_EXPLANATION_3e28e215,explanation,True,
TSLA_2025_EXPLANATION_82769cab,explanation,True,
TSLA_2025_EXPLANATION_e7fcf007,explanation,True,
TSLA_2025_EXPLANATION_3c4c46be,explanation,True,
TSLA_2025_EXPLANATION_a917c532,explanation,True,
TSLA_2025_EXPLANATION_593c9163,explanation,True,
TSLA_2025_EXPLANATION_c7f5bf86,explanation,True,
TSLA_2025_EXPLANATION_7c0157a3,explanation,True,
AAPL_2025_TEXT_FACT_204adb9c,text_fact,True,
AAPL_2025_EXPLANATION_bfbe8dc6,explanation,True,
AAPL_2025_EXPLANATION_62304c77,explanation,True,
AAPL_2025_EXPLANATION_3d5918d4,explanation,True,
AAPL_2025_EXPLANATION_6b161f9b,explanation,True,
AAPL_2025_EXPLANATION_4eed27ac,explanation,True,
AAPL_2025_EXPLANATION_1ff08f6f,explanation,True,
AMZN_2025_EXPLANATION_253f640f,explanation,True,
AMZN_2025_EXPLANATION_30b6e4f1,explanation,True,
AMZN_2025_EXPLANATION_8404526c,explanation,True,
AMZN_2025_EXPLANATION_093f6723,explanation,True,
AMZN_2025_EXPLANATION_006ee996,explanation,True,
GOOG_2025_EXPLANATION_50787cde,explanation,True,
GOOG_2025_EXPLANATION_fdcdb5cb,explanation,True,
GOOG_2025_EXPLANATION_2eac4da9,explanation,True,
GOOG_2025_EXPLANATION_fc59225c,explanation,True,
GOOG_2025_EXPLANATION_9c13e2f3,explanation,True,
GOOG_2025_EXPLANATION_a5131c3a,explanation,True,
META_2025_EXPLANATION_92a5497a,explanation,True,
META_2025_EXPLANATION_ac2b1231,explanation,True,
META_2025_EXPLANATION_e41ba779,explanation,True,
MSFT_2025_EXPLANATION_c91a9d4c,explanation,True,
MSFT_2025_EXPLANATION_18a8256a,explanation,True,
MSFT_2025_EXPLANATION_edeb0811,explanation,True,
MSFT_2025_EXPLANATION_c0d3adda,explanation,True,
NVDA_2025_EXPLANATION_853722c2,explanation,True,
NVDA_2025_EXPLANATION_f6e0d7b8,explanation,True,
NVDA_2025_EXPLANATION_00d94485,explanation,True,
NVDA_2025_EXPLANATION_f213f587,explanation,True,
NVDA_2025_EXPLANATION_86aa6987,explanation,True,
NVDA_2025_EXPLANATION_74074ecc,explanation,True,
TSLA_2025_TEXT_FACT_805a8c23,text_fact,True,
TSLA_2025_EXPLANATION_45b395dd,explanation,True,
TSLA_2025_EXPLANATION_3fb81ed0,explanation,True,
TSLA_2025_EXPLANATION_dc3463e8,explanation,True,
TSLA_2025_EXPLANATION_485e4855,explanation,True,
TSLA_2025_EXPLANATION_50fe3de2,explanation,True,
TSLA_2025_EXPLANATION_41eb91f9,explanation,True,
