question_id,ticker,company,fiscal_year,filing_year,question_type,difficulty,requires_calculation,calculation,gold_evidence_text,gold_chunk_id,relevant_chunk_ids,source_section,source_type,expected_refusal,fact_id,notes,question,answer,normalized_answer,answer_aliases,reviewer_notes,fact_type,generation_mode,generation_model,source_chunk_id,negative_type,plausible_because,unsupported_because,validation_notes
AMZN_2025_NUMERIC_FACT_5c449187,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"on selection, price, and convenience. We design our stores to enable hundreds of millions of unique products to be sold by us and by third parties across dozens of product categories. Customers access our offerings through our websites, mobile apps, Alexa, devices, streaming, and physically visiting our stores. We also manufacture and sell electronic devices, including Kindle, Fire tablet, Fire TV, Echo, Ring, Blink, and eero, and we develop and produce media content. We seek to offer our customers low prices, fast and free delivery, easy-to-use functionality, and timely customer service. In addition, we offer subscription services such as Amazon Prime, a membership program that includes fas",AMZN_2025_10K_table_aware_256_000220_60af9d,"[""AMZN_2025_10K_table_aware_256_000220_60af9d""]",Item 1,narrative,false,AMZN_2025_NUME_8deaedc2,Seeded from deterministic filing fact inventory.,What value did Amazon report for on selection price and convenience we design our in fiscal 2025?,2,2 number,"[""2 number"", ""2 ""]",,,,,AMZN_2025_10K_table_aware_256_000220_60af9d,,,,
AMZN_2025_NUMERIC_FACT_7553835f,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"products in our stores, and fulfill orders using our services. We are not the seller of record in these transactions. We earn fixed fees, a percentage of sales, per-unit activity fees, interest, or some combination thereof, for our seller programs. Developers and Enterprises We serve developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, artificial intelligence and machine learning, and other services. Content Creators We offer programs that allow authors, independent publishers, musicians, filmmakers, Twitch streamers",AMZN_2025_10K_table_aware_256_000221_53991e,"[""AMZN_2025_10K_table_aware_256_000221_53991e""]",Item 1,narrative,false,AMZN_2025_NUME_40d4c862,Seeded from deterministic filing fact inventory.,What value did Amazon report for products in our stores and fulfill orders using in fiscal 2025?,(1),-1 number,"[""-1 number"", ""(1) ""]",,,,,AMZN_2025_10K_table_aware_256_000221_53991e,,,,
AMZN_2025_NUMERIC_FACT_70858911,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"the products we offer and sell to consumers and businesses; (2) publishers, producers, and distributors of physical, digital, and interactive media of all types and all distribution channels; (3) web search engines, comparison shopping websites, social networks, web portals, virtual assistants, and other online and app-based means of discovering, using, or acquiring goods and services, either directly or in collaboration with other retailers, including through artificial intelligence; (4) companies that provide e-commerce services, including website development and hosting, omnichannel sales, inventory and supply chain management, advertising, fulfillment, customer service, and payment proce",AMZN_2025_10K_table_aware_256_000222_cc3883,"[""AMZN_2025_10K_table_aware_256_000222_cc3883""]",Item 1,narrative,false,AMZN_2025_NUME_3ba2d971,Seeded from deterministic filing fact inventory.,What value did Amazon report for the products we offer and sell to consumers in fiscal 2025?,(2),-2 number,"[""-2 number"", ""(2) ""]",,,,,AMZN_2025_10K_table_aware_256_000222_cc3883,,,,
AMZN_2025_NUMERIC_FACT_59cf5e36,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"copyrights, patents, domain names, trade dress, trade secrets, proprietary technologies, and similar intellectual property as critical to our success, and we rely on trademark, copyright, and patent law, trade-secret protection, and confidentiality and/or license agreements with our employees, customers, partners, and others to protect our proprietary rights. We have registered, or applied for the registration of, a number of U.S. and international domain names, trademarks, service marks, and copyrights. Additionally, we have filed U.S. and international patent applications covering certain of our proprietary technology. Seasonality Our business is affected by seasonality, which historically",AMZN_2025_10K_table_aware_256_000224_a3e452,"[""AMZN_2025_10K_table_aware_256_000224_a3e452""]",Item 1,narrative,false,AMZN_2025_NUME_d34e9205,Seeded from deterministic filing fact inventory.,What value did Amazon report for copyrights patents domain names trade dress trade secrets in fiscal 2025?,31,31 number,"[""31 number"", ""31""]",,,,,AMZN_2025_10K_table_aware_256_000224_a3e452,,,,
AMZN_2025_NUMERIC_FACT_b15324d4,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"employer. We rely on numerous and evolving initiatives to implement this objective and invent mechanisms for talent development, including competitive pay and benefits, flexible work arrangements, and skills training and educational programs such as Amazon Career Choice (education funding for eligible employees). Over 300,000 Amazon employees around the world have participated in Career Choice. We also continue to inspect and refine the mechanisms we use to hire, develop, evaluate, and retain our employees. In addition, safety is integral to everything we do at Amazon and we continue to invest in safety improvements such as capital improvements, new safety technology, vehicle safety controls",AMZN_2025_10K_table_aware_256_000225_5a7fa6,"[""AMZN_2025_10K_table_aware_256_000225_5a7fa6""]",Item 1,narrative,false,AMZN_2025_NUME_ea25555e,Seeded from deterministic filing fact inventory.,What value did Amazon report for employer we rely on numerous and evolving initiatives in fiscal 2025?,"300,000",300000 number,"[""300000 number"", ""300,000 ""]",,,,,AMZN_2025_10K_table_aware_256_000225_5a7fa6,,,,
AMZN_2025_NUMERIC_FACT_027f3530,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"Securities and Exchange Commission (“SEC”), corporate governance information (including our Code of Business Conduct and Ethics), and select press releases. Executive Officers and Directors The following tables set forth certain information regarding our Executive Officers and Directors as of January 28, 2026: Information About Our Executive Officers Name Age Position Executive Chair Matthew S. Garman CEO Amazon Web Services Douglas J. Herrington CEO Worldwide Amazon Stores Brian T. Olsavsky Senior Vice President and Chief Financial Officer Shelley L. Reynolds Vice President, Worldwide Controller, and Principal Accounting Officer David A. Zapolsky Senior Vice President, Chief Global Affairs",AMZN_2025_10K_table_aware_256_000226_94c6d3,"[""AMZN_2025_10K_table_aware_256_000226_94c6d3""]",Item 1,narrative,false,AMZN_2025_NUME_a59e006d,Seeded from deterministic filing fact inventory.,What value did Amazon report for securities and exchange commission sec corporate governance information in fiscal 2025?,"28,",28 number,"[""28 number"", ""28, ""]",,,,,AMZN_2025_10K_table_aware_256_000226_94c6d3,,,,
AMZN_2025_NUMERIC_FACT_86c42d84,AMZN,Amazon,2025,2025,numeric_fact,easy,false,,"April 2016. Matthew S. Garman. Mr. Garman has served as CEO Amazon Web Services since June 2024, Senior Vice President, Amazon Web Services from February 2021 until June 2024, Vice President, Marketing, Sales and Support of Amazon Web Services from January 2020 to February 2021, Vice President, AWS Compute Services from September 2018 to January 2020, and Vice President, EC2 from December 2012 to September 2018. Douglas J. Herrington. Mr. Herrington has served as CEO Worldwide Amazon Stores since July 2022, Senior Vice President, North America Consumer from January 2015 to July 2022, Senior Vice President, Consumables from May 2014 to December 2014, and Vice President, Consumables from May 2",AMZN_2025_10K_table_aware_256_000227_9ed4ae,"[""AMZN_2025_10K_table_aware_256_000227_9ed4ae""]",Item 1,narrative,false,AMZN_2025_NUME_76d1722a,Seeded from deterministic filing fact inventory.,What value did Amazon report for april matthew s garman mr garman has served in fiscal 2025?,2016,2016 number,"[""2016 number"", ""2016""]",,,,,AMZN_2025_10K_table_aware_256_000227_9ed4ae,,,,
GOOG_2025_NUMERIC_FACT_c019e62f,GOOG,Google,2025,2025,numeric_fact,easy,false,,"""Business;"" Part I, Item 1A ""Risk Factors;"" and Part II, Item 7 ""Management's Discussion and Analysis of Financial Condition and Results of Operations."" These forward-looking statements are based on current expectations and assumptions that are subject to risks and uncertainties, which could cause our actual results to differ materially from those reflected in the forward-looking statements. Factors that could cause or contribute to such differences include, but are not limited to, those discussed in this Annual Report on Form 10-K, including the risks discussed in Part I, Item 1A ""Risk Factors"" and the trends discussed in Part II, Item 7 ""Management's Discussion and Analysis of Financial Co",GOOG_2025_10K_table_aware_256_000431_f40aeb,"[""GOOG_2025_10K_table_aware_256_000431_f40aeb""]",Item 15,narrative,false,GOOG_2025_NUME_adc276bc,Seeded from deterministic filing fact inventory.,What value did Google report for business part i item a risk factors and in fiscal 2025?,1,1 number,"[""1 number"", ""1""]",,,,,GOOG_2025_10K_table_aware_256_000431_f40aeb,,,,
GOOG_2025_NUMERIC_FACT_d2a2f49c,GOOG,Google,2025,2025,numeric_fact,easy,false,,"BUSINESS Overview As our founders Larry and Sergey wrote in the original founders' letter, ""Google is not a conventional company. We do not intend to become one."" That unconventional spirit has been a driving force throughout our history, inspiring us to tackle big problems and invest in moonshots. It led us to be a pioneer in the development of artificial intelligence (AI) and, since 2016, be an AI-first company. We continue this work under the leadership of Alphabet and Google CEO, Sundar Pichai. Alphabet is a collection of businesses — the largest of which is Google. We report Google in two segments, Google Services and Google Cloud, and all non-Google businesses collectively as Other Bet",GOOG_2025_10K_table_aware_256_000432_3ca390,"[""GOOG_2025_10K_table_aware_256_000432_3ca390""]",Item 1,narrative,false,GOOG_2025_NUME_e1aebf80,Seeded from deterministic filing fact inventory.,What value did Google report for business overview as our founders larry and sergey in fiscal 2025?,"2016, b",2.016e+06 million,"[""2.016e+06 million"", ""2016, b""]",,,,,GOOG_2025_10K_table_aware_256_000432_3ca390,,,,
GOOG_2025_NUMERIC_FACT_d3b1e794,GOOG,Google,2025,2025,numeric_fact,easy,false,,"information and make it universally accessible and useful is as relevant today as it was when we were founded in 1998. Since then, we have evolved from a company that helps people find answers to a company that also helps people get things done. We are focused on building an even more helpful Google for everyone, and we aspire to give everyone the tools they need to increase their knowledge, health, happiness, and success. Google Search helps people find information and make sense of the world in more natural and intuitive ways, with trillions of searches on Google every year. YouTube provides people with entertainment, information, and opportunities to learn something new and helps support",GOOG_2025_10K_table_aware_256_000433_a39b76,"[""GOOG_2025_10K_table_aware_256_000433_a39b76""]",Item 1,narrative,false,GOOG_2025_NUME_e2f7d17e,Seeded from deterministic filing fact inventory.,What value did Google report for information and make it universally accessible and useful in fiscal 2025?,1998,1998 number,"[""1998 number"", ""1998""]",,,,,GOOG_2025_10K_table_aware_256_000433_a39b76,,,,
GOOG_2025_NUMERIC_FACT_cdd9d072,GOOG,Google,2025,2025,numeric_fact,easy,false,,"that can bring meaningful and positive change to people and societies across the world, and to our business. We aim to build the most advanced, safe, and responsible AI through our full- stack approach, which spans AI-optimized infrastructure; world-class research, including models and tooling; and our products and platforms that bring AI to billions of people, developers, and enterprises. At the foundation of our full-stack approach is our AI-optimized infrastructure — a key differentiator enabling us to power our own products, such as Search and YouTube, and support the services we provide to our Google Cloud customers. Our technical infrastructure allows us to use and offer our customers",GOOG_2025_10K_table_aware_256_000434_c3711b,"[""GOOG_2025_10K_table_aware_256_000434_c3711b""]",Item 1,narrative,false,GOOG_2025_NUME_0d128f52,Seeded from deterministic filing fact inventory.,What value did Google report for that can bring meaningful and positive change to in fiscal 2025?,"3,",3 number,"[""3 number"", ""3, ""]",,,,,GOOG_2025_10K_table_aware_256_000434_c3711b,,,,
GOOG_2025_NUMERIC_FACT_6c66adff,GOOG,Google,2025,2025,numeric_fact,easy,false,,"AI model yet. Designed to deliver advanced multimodal understanding, Gemini 3 represents our most capable iteration of agentic and generative coding technologies. Gemini 3 integrates enhanced reasoning capabilities to support visualizations and interactive user experiences across our product ecosystem, including Search and the Gemini app. As technology continues to improve rapidly, we are focused on bringing our latest AI advances to our products and platforms. We continue to help our users access information and knowledge, express themselves, and get things done by embedding the power of generative AI and Gemini into our products and platforms. Today, all 15 of our half- billion-user produc",GOOG_2025_10K_table_aware_256_000435_200aef,"[""GOOG_2025_10K_table_aware_256_000435_200aef""]",Item 1,narrative,false,GOOG_2025_NUME_83482902,Seeded from deterministic filing fact inventory.,What value did Google report for ai model yet designed to deliver advanced multimodal in fiscal 2025?,3,3 number,"[""3 number"", ""3 ""]",,,,,GOOG_2025_10K_table_aware_256_000435_200aef,,,,
GOOG_2025_NUMERIC_FACT_f34d7971,GOOG,Google,2025,2025,numeric_fact,easy,false,,"to auto-delete their data, applying privacy technologies like on-device processing, giving people tools to control their experience, or advancing anti-malware, anti-phishing, and password security features. Google For reporting purposes Google comprises two segments: Google Services and Google Cloud. Serving Our Users We have always been committed to building helpful products that can improve the lives of millions of people worldwide. Our product innovations are what make our services widely used, and our brand one of the most recognized in the world. Google Services' core products and platforms include ads, Android, Chrome, devices, Gmail, Google Drive, Google Gemini, Google Maps, Google Ph",GOOG_2025_10K_table_aware_256_000437_e6cfe5,"[""GOOG_2025_10K_table_aware_256_000437_e6cfe5""]",Item 1,narrative,false,GOOG_2025_NUME_733cc96a,Seeded from deterministic filing fact inventory.,What value did Google report for to auto delete their data applying privacy technologies in fiscal 2025?,4,4 number,"[""4 number"", ""4""]",,,,,GOOG_2025_10K_table_aware_256_000437_e6cfe5,,,,
GOOG_2025_NUMERIC_FACT_7a923ada,GOOG,Google,2025,2025,numeric_fact,easy,false,,"and the quality of results. For example, AI Overviews makes it easier to ask Google anything and get a helpful response. AI Mode allows users to ask more nuanced questions that might have previously taken multiple searches, using Gemini’s advanced reasoning, thinking, and multimodal capabilities. This drive to make information more accessible and helpful has led us over the years to improve the discovery and creation of digital content both on the web and through platforms like Google Play and YouTube. People are consuming many forms of digital content, including watching long and short form videos and podcasts, streaming TV, playing games, listening to music, reading books, and using apps.",GOOG_2025_10K_table_aware_256_000438_d78ee0,"[""GOOG_2025_10K_table_aware_256_000438_d78ee0""]",Item 1,narrative,false,GOOG_2025_NUME_989aa965,Seeded from deterministic filing fact inventory.,What value did Google report for and the quality of results for example ai in fiscal 2025?,10,10 number,"[""10 number"", ""10 ""]",,,,,GOOG_2025_10K_table_aware_256_000438_d78ee0,,,,
GOOG_2025_NUMERIC_FACT_eb0669ed,GOOG,Google,2025,2025,numeric_fact,easy,false,,"of our AI, software, and hardware. This potential is reflected in our latest generation of devices, such as the new Pixel 10 series and the Pixel Watch 4. Creating products and services that people rely on every day is a journey that we are investing in for the long-term. How We Make Money We have built world-class advertising technologies for advertisers, agencies, and publishers to power their digital marketing businesses. Our advertising solutions help millions of companies grow their businesses through our wide range of products across devices and formats, and we aim to ensure positive user experiences by serving the right ads at the right time and by building deep partnerships with bran",GOOG_2025_10K_table_aware_256_000439_ee1707,"[""GOOG_2025_10K_table_aware_256_000439_ee1707""]",Item 1,narrative,false,GOOG_2025_NUME_c14a790c,Seeded from deterministic filing fact inventory.,What value did Google report for of our ai software and hardware this potential in fiscal 2025?,10,10 number,"[""10 number"", ""10 ""]",,,,,GOOG_2025_10K_table_aware_256_000439_ee1707,,,,
META_2025_NUMERIC_FACT_37d5a484,META,Unknown,2025,2025,numeric_fact,easy,false,,Management's Discussion and Analysis of Financial Condition and Results of Operations Item 7A. Quantitative and Qualitative Disclosures About Market Risk Item 8. Financial Statements and Supplementary Data,META_2025_10K_table_aware_256_000690_770d79,"[""META_2025_10K_table_aware_256_000690_770d79""]",Item 7,narrative,false,META_2025_NUME_83bd802b,Seeded from deterministic filing fact inventory.,What value did Unknown report for management's discussion and analysis of financial condition and in fiscal 2025?,7,7 number,"[""7 number"", ""7""]",,,,,META_2025_10K_table_aware_256_000690_770d79,,,,
META_2025_NUMERIC_FACT_c8b1f191,META,Unknown,2025,2025,numeric_fact,easy,false,,"factors on our business or the extent to which any factor, or combination of factors, may cause actual results to differ materially from those contained in any forward-looking statements we may make. In light of these risks, uncertainties and assumptions, the future events and trends discussed in this Annual Report on Form 10-K may not occur and actual results could differ materially and adversely from those anticipated or implied in the forward-looking statements. We undertake no obligation to revise or publicly release the results of any revision to these forward-looking statements, except as required by law. Given these risks and uncertainties, readers are cautioned not to place undue rel",META_2025_10K_table_aware_256_000694_e3a628,"[""META_2025_10K_table_aware_256_000694_e3a628""]",Item 15,narrative,false,META_2025_NUME_5be5596c,Seeded from deterministic filing fact inventory.,What value did Unknown report for factors on our business or the extent to in fiscal 2025?,10,10 number,"[""10 number"", ""10""]",,,,,META_2025_10K_table_aware_256_000694_e3a628,,,,
